close=183.03, average=181.48
close=185.00, average=182.252
close=189.31, average=184.214
close=186.63, average=184.944
close=191.96, average=186.73
close=190.75, average=188.73
close=193.70, average=190.47
close=186.95, average=186.208
close=186.25, average=184.686
close=186.00, average=184.378
close=184.62, average=184.552
close=183.85, average=183.694
close=187.19, average=184.632
close=186.68, average=184.768
close=189.11, average=185.666
close=190.88, average=187.542
close=193.00, average=189.372
close=197.00, average=191.334
close=195.09, average=193.016
close=195.49, average=194.292
close=196.45, average=195.706
